WITNESS_POINTS, NUMBER=2745
8.250000,12.500000,0.523599
8.750000,12.500000,0.523599
9.250000,12.500000,0.523599
9.750000,12.500000,0.523599
10.250000,12.500000,0.523599
10.750000,12.500000,0.523599
11.250000,12.500000,0.523599
11.750000,12.500000,0.523599
12.250000,12.500000,0.523599
12.750000,12.500000,0.523599
13.250000,12.500000,0.523599
13.750000,12.500000,0.523599
14.250000,12.500000,0.523599
14.750000,12.500000,0.523599
15.250000,12.500000,0.523599
15.750000,12.500000,0.523599
6.750000,12.500000,0.593412
6.633022,12.821394,0.593412
6.336824,12.992404,0.593412
6.000000,12.933013,0.593412
5.780154,12.671010,0.593412
5.780154,12.328990,0.593412
6.000000,12.066987,0.593412
6.336824,12.007596,0.593412
6.633022,12.178606,0.593412
6.810000,11.750000,0.593412
6.810000,12.250000,0.593412
6.810000,12.750000,0.593412
6.810000,13.250000,0.593412
7.290000,11.750000,0.593412
7.290000,12.250000,0.593412
7.290000,12.750000,0.593412
7.290000,13.250000,0.593412
7.770000,11.750000,0.593412
7.770000,12.250000,0.593412
7.770000,12.750000,0.593412
7.770000,13.250000,0.593412
8.750000,11.750000,0.593412
8.750000,12.250000,0.593412
8.750000,12.750000,0.593412
8.750000,13.250000,0.593412
9.750000,11.750000,0.593412
9.750000,12.250000,0.593412
9.750000,12.750000,0.593412
9.750000,13.250000,0.593412
10.750000,11.750000,0.593412
10.750000,12.250000,0.593412
10.750000,12.750000,0.593412
10.750000,13.250000,0.593412
12.750000,11.750000,0.593412
12.750000,12.250000,0.593412
12.750000,12.750000,0.593412
12.750000,13.250000,0.593412
15.750000,11.750000,0.593412
15.750000,12.250000,0.593412
15.750000,12.750000,0.593412
15.750000,13.250000,0.593412
6.250000,12.500000,0.593412
6.750000,12.500000,0.593412
7.250000,12.500000,0.593412
7.750000,12.500000,0.593412
8.250000,12.500000,0.593412
8.750000,12.500000,0.593412
9.250000,12.500000,0.593412
9.750000,12.500000,0.593412
10.250000,12.500000,0.593412
10.750000,12.500000,0.593412
11.250000,12.500000,0.593412
11.750000,12.500000,0.593412
12.250000,12.500000,0.593412
12.750000,12.500000,0.593412
13.250000,12.500000,0.593412
13.750000,12.500000,0.593412
14.250000,12.500000,0.593412
14.750000,12.500000,0.593412
15.250000,12.500000,0.593412
15.750000,12.500000,0.593412
6.750000,12.500000,0.663225
6.633022,12.821394,0.663225
6.336824,12.992404,0.663225
6.000000,12.933013,0.663225
5.780154,12.671010,0.663225
5.780154,12.328990,0.663225
6.000000,12.066987,0.663225
6.336824,12.007596,0.663225
6.633022,12.178606,0.663225
6.810000,11.750000,0.663225
6.810000,12.250000,0.663225
6.810000,12.750000,0.663225
6.810000,13.250000,0.663225
7.290000,11.750000,0.663225
7.290000,12.250000,0.663225
7.290000,12.750000,0.663225
7.290000,13.250000,0.663225
7.770000,11.750000,0.663225
7.770000,12.250000,0.663225
7.770000,12.750000,0.663225
7.770000,13.250000,0.663225
8.750000,11.750000,0.663225
8.750000,12.250000,0.663225
8.750000,12.750000,0.663225
8.750000,13.250000,0.663225
9.750000,11.750000,0.663225
9.750000,12.250000,0.663225
9.750000,12.750000,0.663225
9.750000,13.250000,0.663225
10.750000,11.750000,0.663225
10.750000,12.250000,0.663225
10.750000,12.750000,0.663225
10.750000,13.250000,0.663225
12.750000,11.750000,0.663225
12.750000,12.250000,0.663225
12.750000,12.750000,0.663225
12.750000,13.250000,0.663225
15.750000,11.750000,0.663225
15.750000,12.250000,0.663225
15.750000,12.750000,0.663225
15.750000,13.250000,0.663225
6.250000,12.500000,0.663225
6.750000,12.500000,0.663225
7.250000,12.500000,0.663225
7.750000,12.500000,0.663225
8.250000,12.500000,0.663225
8.750000,12.500000,0.663225
9.250000,12.500000,0.663225
9.750000,12.500000,0.663225
10.250000,12.500000,0.663225
10.750000,12.500000,0.663225
11.250000,12.500000,0.663225
11.750000,12.500000,0.663225
