y,U_bar,u_prime,V_bar,v_prime,W_bar,w_prime
47.421204,22.140839190346096,2.1779773942472906,-0.0023518132119646155,1.1239549274375764,-1.3751627917140297,1.2715005459897353
49.17627,22.298126600473474,2.1410647302169026,-0.0039325818106925835,1.1183521292713892,-1.3763632063902316,1.2591700243027064
50.974747,22.45556593908387,2.1032671418379807,-0.004253548840815786,1.11056227812385,-1.3760122248360864,1.244593321787246
52.816784,22.61308779079467,2.0683943423586744,-0.004381860191651075,1.1026485286328398,-1.374743381682293,1.228989366291738
54.702477,22.77588356836348,2.031138378367218,-0.003773904130153852,1.0937574234466172,-1.3691542731793005,1.2122111003543032
56.631844,22.934631286211953,1.9913122355940411,-0.004264400211751122,1.084876387539976,-1.3680321932237056,1.1940274324755586
58.60485,23.101883955675596,1.9522928643428852,-0.004548253810637209,1.0754944426434936,-1.3696019940851571,1.1756044775482688
60.621376,23.27266457805933,1.9104653361605985,-0.003840879235402428,1.0665104203907276,-1.3693202663998365,1.1549283408667137
62.68123,23.43891586077413,1.870863390126577,-0.003479433248882659,1.057547211544128,-1.3677366236992838,1.1327267824512943
64.78414,23.608792595848,1.8312973801586105,-0.004277742795198063,1.04814228839248,-1.3741610931541486,1.1109405275587052
66.92976,23.775625373983765,1.7953387952919673,-0.004461529655707165,1.038414678010827,-1.3825945719671466,1.0887997993748633
69.11766,23.93314430151654,1.7659518796393376,-0.006049271317346072,1.028181515157146,-1.3829677819983428,1.0699671242351174
71.347305,24.118208008992003,1.7321143195574598,-0.005943892493543509,1.0175343590446728,-1.3788978633112476,1.047039167576938
73.6181,24.301450627294606,1.7001150830096603,-0.004260303516352793,1.0070565679148313,-1.377971306818749,1.0257786557765969
75.92936,24.463329770938852,1.670935087091114,-0.005550288932841624,0.9969257941635838,-1.368788769557288,1.0022635603925178
78.28027,24.64788757183446,1.6405107794494214,-0.004746547999098074,0.9870051436968921,-1.3770194991126175,0.9786159242569779
80.66998,24.812535486735218,1.6080975456339108,-0.0008032207260383424,0.9776737608621564,-1.3824719628719235,0.9548487894690234
83.09752,24.9876628870205,1.5743712461172634,-0.002464975548336995,0.968390701675041,-1.3915073938411573,0.9296343614478336
85.56181,25.16011690649077,1.5352908333753168,-0.003957210318637048,0.9584320000725123,-1.388374446382649,0.9063166228365285
88.06172,25.31656316894429,1.4969483641171857,-0.002374208634432709,0.950247450297589,-1.3957611755942954,0.8840737057495232
90.59601,25.48480423624232,1.4605878410897932,-0.0012258209877145485,0.9413669728360318,-1.4101633229021102,0.8637447169782647
93.16333,25.642159941667146,1.4145277598487265,-0.0022491300995374905,0.9343422988618362,-1.3996641991733572,0.8396681952136464
95.76227,25.782972332483073,1.3779082562054654,0.0018066139896427756,0.9248761363122476,-1.3861365256402287,0.8176321297242389
98.391335,25.94386845112311,1.3397675272082454,0.00028703138933266174,0.9170291665705139,-1.357310908679528,0.7968686441239801
101.04892,26.06577516570925,1.3057537421523804,0.0006458064252029173,0.9101605900553963,-1.3387041662868402,0.7776331773757162
103.73337,26.21821789931975,1.2810710372517955,0.0003019758063165524,0.9040512084352368,-1.3260308720788765,0.7596866393969791
106.44294,26.34238178231898,1.247497733157109,0.004255824366976432,0.899044311896248,-1.3145592929926442,0.74193085023888
109.175804,26.43849133553538,1.2208814333875304,0.0027060691333903055,0.8923792252880385,-1.3017345568879226,0.7247833026095013
111.93009,26.560269052326024,1.1991033472016435,0.0019049672485805728,0.8885830537514814,-1.3100845019560123,0.7120067644656761
114.70383,26.613327690791465,1.171123641937237,0.0007372386797891674,0.8838863446832697,-1.2930255755453959,0.6961348844044941
117.495026,26.73639183109665,1.1621104248671685,0.0038553777002297705,0.8829705024226665,-1.269863526995009,0.6831282050514125
